FeedRates.csv﻿"DateTime","Aggregate Feed Rates: Security Information Processors"
"2019-03-01 09:26:00",313811
"2019-03-01 09:27:00",781067
"2019-03-01 09:28:00",41345
"2019-03-01 09:29:00",289647
"2019-03-01 09:30:00",192527
"2019-03-01 09:31:00",9725452
"2019-03-01 09:32:00",2993727
"2019-03-01 09:33:00",3039653
"2019-03-01 09:34:00",3177475
"2019-03-01 09:35:00",3318389
"2019-03-01 09:36:00",3401502
"2019-03-01 09:37:00",5319244
"2019-03-01 09:38:00",3516494
"2019-03-01 09:39:00",3743464
"2019-03-01 09:40:00",3189146
"2019-03-01 09:41:00",5482441
"2019-03-01 09:42:00",3368139
"2019-03-01 09:43:00",4161940
"2019-03-01 09:44:00",2866386
"2019-03-01 09:45:00",4491985
"2019-03-01 09:46:00",4694378
"2019-03-01 09:47:00",2764574
"2019-03-01 09:48:00",2944614
"2019-03-01 09:49:00",6892941
"2019-03-01 09:50:00",3852168
"2019-03-01 09:51:00",3342324
"2019-03-01 09:52:00",3275078
"2019-03-01 09:53:00",3141200
"2019-03-01 09:54:00",3333801
"2019-03-01 09:55:00",2708002
"2019-03-01 09:56:00",3537654
"2019-03-01 09:57:00",2355286
"2019-03-01 09:58:00",6885172
"2019-03-01 09:59:00",4344806
"2019-03-01 10:00:00",5707000
"2019-03-01 10:01:00",9974484
"2019-03-01 10:02:00",4768529
"2019-03-01 10:03:00",3850952
"2019-03-01 10:04:00",2936108
"2019-03-01 10:05:00",3649297
"2019-03-01 10:06:00",3221114
"2019-03-01 10:07:00",3793167
"2019-03-01 10:08:00",2797104
"2019-03-01 10:09:00",3520857
"2019-03-01 10:10:00",2863250
"2019-03-01 10:11:00",2758321
"2019-03-01 10:12:00",4763464
"2019-03-01 10:13:00",2598891
"2019-03-01 10:14:00",3677203
"2019-03-01 10:15:00",2471360
"2019-03-01 10:16:00",6941555
"2019-03-01 10:17:00",2954889
"2019-03-01 10:18:00",3933244
"2019-03-01 10:19:00",2609787
"2019-03-01 10:20:00",1980875
"2019-03-01 10:21:00",6379358
"2019-03-01 10:22:00",5568710
"2019-03-01 10:23:00",3566407
"2019-03-01 10:24:00",6278853
"2019-03-01 10:25:00",3797019
"2019-03-01 10:26:00",3408676
"2019-03-01 10:27:00",3947827
"2019-03-01 10:28:00",4175344
"2019-03-01 10:29:00",2807743
"2019-03-01 10:30:00",3079478
"2019-03-01 10:31:00",3915904
"2019-03-01 10:32:00",4925708
"2019-03-01 10:33:00",4703343
"2019-03-01 10:34:00",3690133
"2019-03-01 10:35:00",4194796
"2019-03-01 10:36:00",4961245
"2019-03-01 10:37:00",3232050
"2019-03-01 10:38:00",3768962
"2019-03-01 10:39:00",3884852
"2019-03-01 10:40:00",2887403
"2019-03-01 10:41:00",3424418
"2019-03-01 10:42:00",4114777
"2019-03-01 10:43:00",2708223
"2019-03-01 10:44:00",2546554
"2019-03-01 10:45:00",3572734
"2019-03-01 10:46:00",2301917
"2019-03-01 10:47:00",1846335
"2019-03-01 10:48:00",5285148
"2019-03-01 10:49:00",1781106
"2019-03-01 10:50:00",4213846
"2019-03-01 10:51:00",3610699
"2019-03-01 10:52:00",3326351
"2019-03-01 10:53:00",2545693
"2019-03-01 10:54:00",2467063
"2019-03-01 10:55:00",3398985
"2019-03-01 10:56:00",2860010
"2019-03-01 10:57:00",1844455
"2019-03-01 10:58:00",2350836
"2019-03-01 10:59:00",2885985
"2019-03-01 11:00:00",1672396
"2019-03-01 11:01:00",3746034
"2019-03-01 11:02:00",3380323
"2019-03-01 11:03:00",3872903
"2019-03-01 11:04:00",2714703
"2019-03-01 11:05:00",3686097
"2019-03-01 11:06:00",1669149
"2019-03-01 11:07:00",6775672
"2019-03-01 11:08:00",3422642
"2019-03-01 11:09:00",2976941
"2019-03-01 11:10:00",3115509
"2019-03-01 11:11:00",3707907
"2019-03-01 11:12:00",6700645
"2019-03-01 11:13:00",3557751
"2019-03-01 11:14:00",2233845
"2019-03-01 11:15:00",2524843
"2019-03-01 11:16:00",4364567
"2019-03-01 11:17:00",5110280
"2019-03-01 11:18:00",4121950
"2019-03-01 11:19:00",4547879
"2019-03-01 11:20:00",4233413
"2019-03-01 11:21:00",2995290
"2019-03-01 11:22:00",3091181
"2019-03-01 11:23:00",2719454
"2019-03-01 11:24:00",6365514
