FeedRates.csv﻿"DateTime","Aggregate Feed Rates: Security Information Processors"
"2019-03-01 09:26:00",50
"2019-03-01 09:27:00",100
"2019-03-01 09:28:00",170
"2019-03-01 09:29:00",100
"2019-03-01 09:30:00",180
"2019-03-01 09:31:00",10
"2019-03-01 09:32:00",50
"2019-03-01 09:33:00",50
"2019-03-01 09:34:00",30
"2019-03-01 09:35:00",100
"2019-03-01 09:36:00",100
"2019-03-01 09:37:00",100
"2019-03-01 09:38:00",100
"2019-03-01 09:39:00",100
"2019-03-01 09:40:00",25
"2019-03-01 09:41:00",111
"2019-03-01 09:42:00",100
"2019-03-01 09:43:00",170
"2019-03-01 09:44:00",100
"2019-03-01 09:45:00",115
"2019-03-01 09:46:00",10
"2019-03-01 09:47:00",100
"2019-03-01 09:48:00",10
"2019-03-01 09:49:00",180
"2019-03-01 09:50:00",100
