FeedRates.csv﻿"DateTime","Aggregate Feed Rates: Security Information Processors"
"2019-03-01 09:26:00",313
"2019-03-01 09:27:00",781
"2019-03-01 09:28:00",419
"2019-03-01 09:29:00",289
"2019-03-01 09:30:00",192
"2019-03-01 09:31:00",972
"2019-03-01 09:32:00",299
"2019-03-01 09:33:00",303
"2019-03-01 09:34:00",317
"2019-03-01 09:35:00",331
"2019-03-01 09:36:00",340
"2019-03-01 09:37:00",531
"2019-03-01 09:38:00",351
"2019-03-01 09:39:00",374
"2019-03-01 09:40:00",318
"2019-03-01 09:41:00",548
"2019-03-01 09:42:00",336
"2019-03-01 09:43:00",416
"2019-03-01 09:44:00",286
"2019-03-01 09:45:00",849
